Name,Ratings,Votes
Breaking Bad,9.5,2.2M
Planet Earth II,9.5,162K
Planet Earth,9.4,224K
Band of Brothers,9.4,545K
Chernobyl,9.3,906K
The Wire,9.3,390K
Avatar: The Last Airbender,9.3,389K
Blue Planet II,9.3,49K
The Sopranos,9.2,498K
Cosmos,9.2,131K
Cosmos,9.3,46K
Our Planet,9.2,54K
Game of Thrones,9.2,2.4M
Bluey,9.3,33K
The World at War,9.2,31K
Fullmetal Alchemist: Brotherhood,9.1,208K
Rick and Morty,9.1,627K
Life,9.1,44K
The Last Dance,9.1,159K
The Twilight Zone,9.0,97K
The Vietnam War,9.1,29K
Sherlock,9.1,1M
Attack on Titan,9.1,561K
Batman: The Animated Series,9.0,122K
Arcane,9.0,300K
